2023-12-15T10:23:45.123456Z I1215 10:23:45.123456    1 main.go:42] Starting application...
2023-12-15T10:23:45.234567Z I1215 10:23:45.234567    1 main.go:45] Loading configuration...
2023-12-15T10:23:45.345678Z E1215 10:23:45.345678    1 config.go:23] Error loading configuration: open /etc/config/app.conf: no such file or directory
2023-12-15T10:23:45.456789Z E1215 10:23:45.456789    1 main.go:47] Failed to load configuration: open /etc/config/app.conf: no such file or directory
2023-12-15T10:23:45.567890Z I1215 10:23:45.567890    1 main.go:50] Attempting to use default configuration...
2023-12-15T10:23:45.678901Z I1215 10:23:45.678901    1 main.go:55] Connecting to database...
2023-12-15T10:23:46.789012Z E1215 10:23:46.789012    1 database.go:34] Error connecting to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:46.890123Z E1215 10:23:46.890123    1 main.go:57] Failed to connect to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:46.901234Z I1215 10:23:46.901234    1 main.go:60] Retrying database connection in 5 seconds...
2023-12-15T10:23:51.012345Z E1215 10:23:51.012345    1 database.go:34] Error connecting to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:51.123456Z E1215 10:23:51.123456    1 main.go:57] Failed to connect to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:51.234567Z I1215 10:23:51.234567    1 main.go:60] Retrying database connection in 5 seconds...
2023-12-15T10:23:56.345678Z E1215 10:23:56.345678    1 database.go:34] Error connecting to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:56.456789Z E1215 10:23:56.456789    1 main.go:57] Failed to connect to database: dial tcp: lookup my-db-service on 10.96.0.10:53: no such host
2023-12-15T10:23:56.567890Z E1215 10:23:56.567890    1 main.go:65] Maximum retry attempts reached. Exiting...
2023-12-15T10:23:56.678901Z F1215 10:23:56.678901    1 main.go:66] Application failed to start: could not connect to database
